Year,Month,Day,T10YIE
2016,10,18,1.66
2016,11,01,1.72
2016,12,01,1.97
2017,01,03,1.98
2017,02,01,2.05
2017,03,01,2.03
2017,04,03,1.96
2017,05,01,1.92
2017,06,01,1.81
2017,07,03,1.75
2017,08,01,1.79
2017,09,01,1.79
2017,10,02,1.83
2017,11,01,1.88
2017,12,01,1.86
2018,01,02,2.0
2018,02,01,2.11
2018,03,01,2.1
2018,04,02,2.05
2018,05,01,2.16
2018,06,01,2.09
2018,07,02,2.14
2018,08,01,2.13
2018,09,04,2.1
2018,10,01,2.14
2018,11,01,2.02
2018,12,03,1.96
2019,01,02,1.7
2019,02,01,1.88
2019,03,01,1.96
2019,04,01,1.9
2019,05,01,1.93
2019,06,03,1.73
2019,07,01,1.69
2019,08,01,1.7
2019,09,03,1.5
2019,10,01,1.52
2019,11,01,1.59
2019,12,02,1.65
2020,01,02,1.8
2020,02,03,1.63
2020,03,02,1.41
2020,04,01,0.91
2020,05,01,1.06
2020,06,01,1.18
2020,07,01,1.37
2020,08,03,1.58
2020,09,01,1.76
2020,10,01,1.63
2020,11,02,1.71
2020,12,01,1.81
2021,01,04,2.01
2021,02,01,2.11
2021,03,01,2.16
2021,04,01,2.35
2021,05,03,2.42
2021,06,01,2.46
2021,07,01,2.35
2021,08,02,2.37
2021,09,01,2.34
