Year,Month,Day,CPI
2016,10,01,249.142
2016,11,01,249.481
2016,12,01,249.92
2017,01,01,250.462
2017,02,01,250.903
2017,03,01,250.836
2017,04,01,251.252
2017,05,01,251.488
2017,06,01,251.822
2017,07,01,252.047
2017,08,01,252.597
2017,09,01,253.039
2017,10,01,253.535
2017,11,01,253.744
2017,12,01,254.308
2018,01,01,255.007
2018,02,01,255.472
2018,03,01,256.117
2018,04,01,256.656
2018,05,01,257.157
2018,06,01,257.534
2018,07,01,257.93
2018,08,01,258.08
2018,09,01,258.534
2018,10,01,258.989
2018,11,01,259.415
2018,12,01,259.873
2019,01,01,260.419
2019,02,01,260.722
2019,03,01,261.339
2019,04,01,262.05
2019,05,01,262.384
2019,06,01,263.117
2019,07,01,263.616
2019,08,01,264.151
2019,09,01,264.603
2019,10,01,265.026
2019,11,01,265.427
2019,12,01,265.651
2020,01,01,266.306
2020,02,01,266.876
2020,03,01,266.82
2020,04,01,265.836
2020,05,01,265.637
2020,06,01,266.282
2020,07,01,267.722
2020,08,01,268.654
2020,09,01,269.155
2020,10,01,269.35
2020,11,01,269.819
2020,12,01,269.94
2021,01,01,270.025
2021,02,01,270.299
2021,03,01,271.214
2021,04,01,273.7
2021,05,01,275.718
2021,06,01,278.14
2021,07,01,279.054
2021,08,01,279.338
2021,09,01,280.017
