DATE,MAPAINUSA646N
1974-01-01,7255
1975-01-01,7704
1976-01-01,8242
1977-01-01,8886
1978-01-01,9451
1979-01-01,10121
1980-01-01,10998
1981-01-01,11909
1982-01-01,12709
1983-01-01,13362
1984-01-01,14412
1985-01-01,15323
1986-01-01,16174
1987-01-01,17041
1988-01-01,18049
1989-01-01,19348
1990-01-01,19842
1991-01-01,20280
1992-01-01,20758
1993-01-01,22199
1994-01-01,23278
1995-01-01,24211
1996-01-01,25466
1997-01-01,27022
1998-01-01,28236
1999-01-01,29677
2000-01-01,31199
2001-01-01,32099
2002-01-01,32222
2003-01-01,32976
2004-01-01,33859
2005-01-01,35499
2006-01-01,37517
2007-01-01,38174
2008-01-01,38376
2009-01-01,38213
2010-01-01,38328
2011-01-01,39660
2012-01-01,40563
2013-01-01,42394
2014-01-01,42789
2015-01-01,44510
2016-01-01,46550
2017-01-01,48986
2018-01-01,50413
2019-01-01,54129
2020-01-01,53996
